BUD,Name,Value
REX,Industries,Banking
REX,Industries,Banks
REX,Industries,Banks
REX,Industries,Bars & Restaurants
REX,Industries,Beer
REX,Industries,Books
REX,Industries,Broadcasters
REX,Industries,Builders/General Contractors
REX,Industries,Builders/Residential
REX,Industries,Building Materials & Equipment
REX,Industries,Building Trade Unions
REX,Industries,Business Associations
REX,Industries,Business Services
REX,Industries,Cable & Satellite TV Production & Distribution
REX,Industries,Candidate Committees
REX,Industries,Candidate Committees
REX,Industries,Candidate Committees
REX,Industries,Car Dealers
REX,Industries,Car Dealers
REX,Industries,Car Manufacturers
REX,Industries,Casinos / Gambling
REX,Industries,Cattle Ranchers/Livestock
REX,Industries,Chemical & Related Manufacturing
REX,Industries,Chiropractors
REX,Industries,Civil Servants/Public Officials
REX,Industries,Clergy & Religious Organizations
REX,Industries,Clothing Manufacturing
REX,Industries,Coal Mining
REX,Industries,Colleges
REX,Industries,Commercial Banks
REX,Industries,Commercial TV & Radio Stations
REX,Industries,Communications/Electronics
REX,Industries,Computer Software
REX,Industries,Conservative/Republican
REX,Industries,Construction
REX,Industries,Construction Services
REX,Industries,Construction Unions
REX,Industries,Credit Unions
REX,Industries,Crop Production & Basic Processing
REX,Industries,Cruise Lines
REX,Industries,Cruise Ships & Lines
REX,Industries,Dairy
REX,Industries,Defense
REX,Industries,Defense Aerospace
REX,Industries,Defense Electronics
REX,Industries,Defense/Foreign Policy Advocates
REX,Industries,Democratic Candidate Committees
REX,Industries,Democratic Leadership PACs
REX,Industries,Democratic/Liberal
REX,Industries,Dentists
REX,Industries,Doctors & Other Health Professionals
REX,Industries,Drug Manufacturers
REX,Industries,Education
REX,Industries,Electric Utilities
REX,Industries,Electronics Manufacturing & Equipment
REX,Industries,Electronics
REX,Industries,Energy & Natural Resources
REX,Industries,Entertainment Industry
REX,Industries,Environment
REX,Industries,Farm Bureaus
REX,Industries,Farming
REX,Industries,Finance / Credit Companies
REX,Industries,Finance
REX,Industries,Food & Beverage
REX,Industries,Food Processing & Sales
REX,Industries,Food Products Manufacturing
REX,Industries,Food Stores
REX,Industries,For-profit Education
REX,Industries,For-profit Prisons
REX,Industries,Foreign & Defense Policy
REX,Industries,Forestry & Forest Products
REX,Industries,Foundations
REX,Industries,Funeral Services
REX,Industries,Gambling & Casinos
REX,Industries,Gambling
REX,Industries,Garbage Collection/Waste Management
REX,Industries,Gas & Oil
REX,Industries,Gay & Lesbian Rights & Issues
REX,Industries,General Contractors
REX,Industries,Government Employee Unions
REX,Industries,Government Employees
REX,Industries,Gun Control
REX,Industries,Gun Rights
REX,Industries,Health
REX,Industries,Health Professionals
REX,Industries,Health Services/HMOs
REX,Industries,Hedge Funds
REX,Industries,HMOs & Health Care Services
REX,Industries,Home Builders
REX,Industries,Hospitals & Nursing Homes
REX,Industries,Hotels
REX,Industries,Human Rights
REX,Industries,Ideological/Single-Issue
REX,Industries,Indian Gaming
REX,Industries,Industrial Unions
REX,Industries,Insurance
REX,Industries,Internet
REX,Industries,Israel Policy
REX,Industries,Labor
REX,Industries,Lawyers & Lobbyists
REX,Industries,Lawyers / Law Firms
REX,Industries,Leadership PACs
REX,Industries,Liberal/Democratic
REX,Industries,Liquor
REX,Industries,Livestock
REX,Industries,Lobbyists
REX,Industries,Lodging / Tourism
REX,Industries,Logging
REX,Industries,Manufacturing
REX,Industries,Marine Transport
REX,Industries,Meat processing & products
REX,Industries,Medical Supplies
REX,Industries,Mining
REX,Industries,Misc Business
REX,Industries,Misc Finance
REX,Industries,Misc Manufacturing & Distributing
REX,Industries,Misc Unions
REX,Industries,Miscellaneous Defense
REX,Industries,Miscellaneous Services
REX,Industries,Mortgage Bankers & Brokers
REX,Industries,Motion Picture Production & Distribution
REX,Industries,Music Production
REX,Industries,Natural Gas Pipelines
REX,Industries,Newspaper
REX,Industries,Non-profits
REX,Industries,Nurses
REX,Industries,Nursing Homes/Hospitals
REX,Industries,Nutritional & Dietary Supplements
REX,Industries,Oil & Gas
REX,Industries,Payday Lenders
REX,Industries,Pharmaceutical Manufacturing
REX,Industries,Pharmaceuticals / Health Products
REX,Industries,Phone Companies
REX,Industries,Physicians & Other Health Professionals
REX,Industries,Postal Unions
REX,Industries,Poultry & Eggs
REX,Industries,Power Utilities
REX,Industries,Printing & Publishing
REX,Industries,Private Equity & Investment Firms
REX,Industries,Pro-Israel
REX,Industries,Professional Sports
REX,Industries,Progressive/Democratic
REX,Industries,Public Employees
REX,Industries,Public Sector Unions
REX,Industries,Publishing & Printing
REX,Industries,Radio/TV Stations
REX,Industries,Railroads
REX,Industries,Real Estate
REX,Industries,Record Companies/Singers
REX,Industries,Recorded Music & Music Production
REX,Industries,Recreation / Live Entertainment
REX,Industries,Religious Organizations/Clergy
REX,Industries,Republican Candidate Committees
REX,Industries,Republican Leadership PACs
REX,Industries,Republican/Conservative
REX,Industries,Residential Construction
REX,Industries,Restaurants & Drinking Establishments
REX,Industries,Retail Sales
REX,Industries,Retired
REX,Industries,Savings & Loans
REX,Industries,Schools/Education
REX,Industries,Sea Transport
REX,Industries,Securities & Investment
REX,Industries,Special Trade Contractors
REX,Industries,Sports
REX,Industries,Steel Production
REX,Industries,Stock Brokers/Investment Industry
REX,Industries,Student Loan Companies
REX,Industries,Sugar Cane & Sugar Beets
REX,Industries,Teachers Unions
REX,Industries,Teachers/Education
REX,Industries,Telecom Services & Equipment
REX,Industries,Telephone Utilities
REX,Industries,Textiles
REX,Industries,Timber
REX,Industries,Tobacco
REX,Industries,Transportation
REX,Industries,Transportation Unions
REX,Industries,Trash Collection/Waste Management
REX,Industries,Trucking
REX,Industries,TV / Movies / Music
REX,Industries,TV Production
REX,Industries,Unions
REX,Industries,Universities
REX,Industries,Vegetables & Fruits
REX,Industries,Venture Capital
REX,Industries,Waste Management
REX,Industries,Wine
REX,Industries,Women's Issues
